hanzi,pinyin,components,tu_hinh,y_nghia,radical,ghi_chu,,A968
们,,,Được tạo thành từ bộ nhân đứng (亻(=人) ☞ người) biểu thị ý nghĩa và chữ Môn (門) biểu thị âm đọc (mun) hợp lại.,,,,,
都,,,"Chữ 都 có nghĩa là 'kinh đô' hay 'thành phố'. Chữ 都 là hình ảnh kết hợp giữa chữ 者 (giả - kẻ) và chữ 邑 (ấp - huyện). Tuy nhiên, chữ Đô nên được giải thích là sự kết hợp giữa chữ 邑 và chữ 渚 (chử - bến nước), có nghĩa là 'bến nước'. Cổ đại, loài người bắt đầu cuộc sống cộng đồng quanh các bến nước. Ngay cả sau khi dân số tăng lên và quy mô thành phố lớn hơn, thành phố vẫn luôn hình thành quanh bến nước. Chữ Đô là chữ phản ánh ý nghĩa đó, được tạo ra với nghĩa là kinh đô nằm cạnh bến nước bằng cách kết hợp chữ 邑 với chữ 渚 có nghĩa là bến nước. Nghĩa 'vũng nước' hay 'ao' bao quanh thành phố vẫn còn trong chữ Đô cũng là vì lẽ này.",,,,,
校,,木、交,"Chữ 校 có nghĩa là 'trường học' hay 'sĩ quan', 'đơn vị'. Chữ 校 là hình ảnh kết hợp giữa chữ 木 (mộc - gỗ) và chữ 交 (giao - kết bạn/bắt chéo). Chữ 交 vẽ hình ảnh người ngồi bắt chéo chân. Cổ đại, chữ 校 có nghĩa là cái gông cùm xiềng tay chân tù nhân. Do đó, chữ Hiệu, được thêm chữ 木 vào chữ 交 vẽ hình ảnh bắt chéo chân như vậy, biểu hiện nghĩa người bị trói vào gông cùm làm bằng gỗ. Tuy nhiên, theo thời gian, chữ Hiệu được dùng với nghĩa là 'cơ quan' giam giữ và xét xử tội nhân, và nghĩa này lại thay đổi, hiện nay dùng để chỉ các cơ sở giáo dục chuyên nghiệp.",,,,,
长,,,"Chữ 長 có nghĩa là 'dài' hay 'người lớn'. Chữ 長 vẽ người già có mái tóc dài. Do đó, nghĩa gốc là 'dài'. Chữ Trường vẽ người già tóc bạc phơ, nên sau này cũng phái sinh nghĩa 'người lớn', 'thủ lĩnh'. Chữ Trường được chỉ định làm bộ thủ, nhưng trong Hán tự thông dụng không có chữ nào liên quan. Mặc dù chữ 長 được dùng trong chữ 張 (trương - giăng ra) hay chữ 帳 (trướng - màn trướng), nhưng chữ 長 không được chỉ định làm bộ thủ.",,,,,
介,,,"Chữ 介 có nghĩa là '(chen vào giữa)' hay 'giới thiệu', 'nương tựa'. Chữ 介 là hình ảnh chữ 人 (nhân - người) với hai nét gạch dưới. Nhìn vào chữ Giới trong giáp cốt văn, có thể thấy 4 chấm được vẽ bên cạnh chữ 人. Đây là nghĩa mặc áo giáp. Áo giáp thời Trung Quốc cổ đại được ghép từ các mảnh sắt và thắt dây chặt để không dễ bị tuột ra. Chữ Giới có nghĩa là 'chen vào giữa' từ ý nghĩa áo giáp được thắt chặt như vậy, và vì áo giáp khó tự mặc nên nghĩa 'giúp đỡ' hay 'phục vụ' cũng được phái sinh.",,,,,
绍,,,"Được tạo thành từ bộ mịch (糸 ☞ cuộn chỉ) biểu thị ý nghĩa và chữ Triệu (召), đồng thời biểu thị âm đọc (so) và có ý nghĩa 「nối (≒ 接, 承)」. Có nghĩa 「nối chỉ → nối, kế thừa (繼承--) → đứng giữa làm trung gian」.",,,,,
召,,,"Chữ 召 có nghĩa là 'gọi' hay 'triệu tập'. Chữ 召 là hình ảnh kết hợp giữa chữ 刀 (đao - dao) và chữ 口 (khẩu - miệng). Chữ Triệu trông giống như đặt dao lên miệng, nhưng chữ 刀 được dùng ở đây nên được giải thích là vẽ chữ 匕 (chủy - cái thìa) có nghĩa là 'cái thìa'. Khi đó, chữ 召 có thể được giải thích là hình ảnh đưa thức ăn trên thìa vào miệng. Thực ra chữ 召 có nghĩa là 'gọi' là vì ý nghĩa gọi khách đến để chiêu đãi thức ăn. Thêm chữ 手 (thủ - tay) vào sẽ thành chữ 招 (chiêu - gọi) có nghĩa là vẫy tay gọi đến cũng là vì lý do này.",,,,,
俩,,,Được tạo thành từ bộ nhân đứng (亻(=人) ☞ người) biểu thị ý nghĩa và chữ Lưỡng (兩) biểu thị âm đọc (ryang) hợp lại.,,,,,
和,,,"Chữ 和 có nghĩa là 'hòa thuận' hay 'ôn hòa'. Chữ 和 là hình ảnh kết hợp giữa chữ 禾 (hòa - lúa) và chữ 口 (khẩu - miệng). Vì chữ 禾 vẽ 'lúa', nên chữ Hòa được thêm chữ 口 vào, thường được giải thích theo kiểu đã có đủ ăn nên 'hòa thuận'. Tuy nhiên, trong giáp cốt văn, chữ 龢 (hòa - hòa hợp) có chữ 龠 (dược - sáo) được dùng. Chữ 龢 là chữ ứng dụng chữ 龠 vẽ cây sáo, có nghĩa là 'hòa hợp' từ ý nghĩa âm thanh sáo lan tỏa đều đặn. Chữ 禾 ở đây chỉ đóng vai trò phát âm. Nhưng từ kim văn trở đi, chữ 口 thay thế sự hòa hợp của âm thanh, tạo thành chữ Hòa hiện nay.",,,,,
我,,,"Chữ 我 có nghĩa là 'tôi'. Chữ 我 vẽ cây mâu có lưỡi hình răng cưa. Cái này giống với cây đinh ba mà Trư Bát Giới cầm trong Tây Du Ký (西遊記). Chữ Ngã vẽ cây đinh ba như vậy, nhưng đã sớm được dùng làm đại từ nhân xưng ngôi thứ nhất, chỉ 'tôi'. Khi chữ Ngã được dùng với nghĩa 'tôi' ngay cả trong thời Ân Thương (殷商) khi giáp cốt văn được tạo ra, có vẻ như nghĩa gốc đã sớm không được dùng nữa. Tuy nhiên, không có giải thích rõ ràng tại sao chữ Ngã lại có nghĩa là 'tôi'. Chỉ có suy đoán rằng nó có nghĩa là 'tôi' hay 'chúng ta' từ ý nghĩa cùng cầm vũ khí chiến đấu. Trong Hán tự, có những chữ như 余 (dư - tôi), 吾 (ngô - tôi), 朕 (trẫm - tôi) ban đầu không liên quan đến nghĩa 'tôi' nhưng theo thời kỳ lại được dùng để chỉ bản thân, nên chữ Ngã có vẻ là một trong những trường hợp đó.",,,,,
爱,,,"Chữ 愛 có nghĩa là 'yêu'. Chữ 愛 là hình ảnh kết hợp giữa chữ 爫 (trảo - móng tay/tay), chữ 冖 (mịch - che đậy), chữ 心 (tâm - tim), chữ 夊 (suy - đi chậm rãi). Tuy nhiên, nhìn vào chữ Ái trong kim văn, chỉ đơn thuần là hình thức kết hợp giữa chữ 旡 (kỵ - nghẹn) và chữ 心 (tâm - tim). Đây là vẽ trái tim ở vùng ngực người. Tức là trong kim văn, chữ Ái vẽ hình ảnh trái tim nằm trong lồng ngực người để biểu hiện nghĩa 'yêu'. Hình ảnh này biến đổi, trong tiểu triện trở thành hình dáng giống như dùng tay ôm lấy trái tim.",,,,,
华,,,"Chữ 華 có nghĩa là 'tỏa sáng' hay 'lộng lẫy'. Chữ 華 là hình ảnh kết hợp giữa chữ 艹 (thảo - cỏ) và chữ 垂 (thùy - rủ xuống). Tuy nhiên, đây chỉ là sự kết hợp chữ hiện tại, còn nhìn vào chữ Hoa trong kim văn, chỉ đơn thuần vẽ hình ảnh 'bông hoa' với cánh hoa nở rộ. Trong tiểu triện, chữ 艸 được thêm vào, truyền đạt ý nghĩa chữ Hoa liên quan đến hoa. Có lẽ vì vẻ đẹp lộng lẫy của hoa mà chữ Hoa hiện nay chỉ được dùng với nghĩa là 'lộng lẫy'. Lưu ý, 61 tuổi được gọi là hoa giáp (華甲) là vì nét của chữ 華 có 6 chữ 十 và 1 chữ 一.",,,,,
秘,,,"Chữ 祕 có nghĩa là 'giấu' hay 'thần bí'. Chữ 祕 là hình ảnh kết hợp giữa chữ 示 (thị - biểu thị) và chữ 必 (tất - nhất định). Chữ 必 vẽ hình ảnh nước bắn tung tóe quanh cái gàu, nhưng ở đây chỉ đóng vai trò phát âm. Chữ Bí ban đầu là chữ được tạo ra với nghĩa ""ý trời quá huyền diệu, khó lòng biết được"". Tuy nhiên, trong khải thư, chữ 秘 (bí - giấu) có chữ 禾 (hòa - lúa) được tạo ra, biểu hiện nghĩa ""phải giấu đi số lượng ngũ cốc trong nhà"". Chữ 秘 là tục tự (俗字) của chữ 祕, nhưng hiện nay cả hai chữ đều được dùng với nghĩa là 'giấu' hay 'thần bí'.",,,,,
学,xué,,"Chữ 學 có nghĩa là 'học' hay 'học tập'. Chữ 學 là hình ảnh kết hợp giữa chữ 臼 (cữu - cối?), chữ 宀 (miên - mái nhà), chữ 爻 (hào/hiếu - vạch/học), chữ 子 (tử - con). Nhìn vào chữ Học trong giáp cốt văn, hai bàn tay ôm lấy chữ 爻 được vẽ phía trên chữ 宀 có nghĩa là nhà. Trong Hán tự, chữ 爻 truyền đạt ý nghĩa liên quan đến hoa văn hoặc học tập, nên điều này được giải thích là nghĩa 'ngôi nhà mang lại sự học hỏi'. Tức là chữ Học trong giáp cốt văn có nghĩa là nhận sự dạy dỗ ở nhà hoặc trường tư (서당). Trong kim văn, chữ 子 được thêm vào, biểu hiện nghĩa 'ngôi nhà mà em bé học tập'.",,,,,
田,,,"Chữ 田 có nghĩa là 'ruộng' hay 'đất canh tác'. Chữ 田 vẽ rãnh giữa các thửa ruộng và giữ nguyên hình dáng gốc từ giáp cốt văn cho đến nay. Trồng lúa được cho là bắt đầu từ khoảng 1 vạn năm trước. Khi nông nghiệp bắt đầu, loài người có thể định cư, và trên cơ sở đó văn minh Trung Quốc được sinh ra, nên có thể nói chữ 田 là chữ có mối liên hệ sâu sắc với lịch sử Trung Quốc. Chữ 田 vẽ mô phỏng thửa ruộng được tạo ra theo phương pháp trồng lúa, nên khi được dùng làm bộ thủ, nó chủ yếu truyền đạt ý nghĩa liên quan đến 'ruộng' hay 'nông nghiệp'. Tuy nhiên, cần lưu ý rằng chữ 田 thường được dùng đơn thuần làm chữ tượng hình.",,,,,
芳,,,"Chữ 芳 có nghĩa là 'nở rộ như hoa' hay 'hương hoa'. Chữ 芳 là hình ảnh kết hợp giữa chữ 艹 (thảo - cỏ) và chữ 方 (phương - vuông/hướng). Chữ 方 vẽ cái cày dùng khi cày ruộng, có nghĩa là 'hướng' hay 'rộng rãi'. Chữ Phương là chữ được tạo ra để chỉ hương hoa lan tỏa khắp nơi. Do đó, chữ Phương biểu hiện nghĩa hương hoa 'lan tỏa rộng rãi' bằng cách kết hợp chữ 艹 vào chữ 方 có nghĩa 'rộng rãi'. Chữ 芳 cũng được dùng để ví với con người. Vì vậy, 방년 (phương niên) có nghĩa là tuổi xuân tươi đẹp như hoa của người phụ nữ khoảng 20 tuổi, và 방명록 (phương danh lục) có nghĩa là 'ghi lại những cái tên đẹp'.",,,,,
留,,,"Chữ 留 có nghĩa là 'ở lại' hay 'chậm trễ', 'giữ lại'. Chữ 留 là hình ảnh kết hợp giữa chữ 田 (điền - ruộng) và chữ 卯 (mão - mèo/cửa mở). Chữ 卯 có nghĩa là 'thỏ', nhưng ở đây có vẻ chỉ đóng vai trò phát âm. Bởi vì chữ cổ của chữ 卯 là 丣 (dậu - địa chi), có phát âm là 'yu'. Do đó, chữ Lưu được giải thích là chữ được tạo ra với nghĩa ở lại nơi đó vì có đất (田) để làm nông (卯 đóng vai trò phát âm 'yu', giống âm 'ở').",,,,,
没,méi,⺡、殳,"Chữ 沒 có nghĩa là 'chìm (trong nước)', 'chết', 'biến mất'. Chữ 沒 là hình ảnh kết hợp giữa chữ 水 (thủy - nước) và chữ 殳 (thù - giáo). Tuy nhiên, nhìn vào tiểu triện của chữ 沒, hình ảnh xoáy nước và bàn tay được vẽ. Đây là biểu hiện của bàn tay nhô lên trên mặt nước. Tức là chữ 沒 vẽ hình ảnh người bị ngã xuống nước đang vùng vẫy đưa tay lên, nghĩa gốc là 'chìm (trong nước)'. Tuy nhiên, sau này nghĩa được mở rộng thành 'chết', 'biến mất'. Lưu ý, chữ 沒 được dùng nhiều trong tiếng Trung hơn tiếng Hàn.",,,,,
什,,,Được tạo thành từ bộ nhân đứng (亻(=人) ☞ người) biểu thị ý nghĩa và chữ Thập (十) biểu thị âm đọc (sip) hợp lại.,,,,,
位,,亻、立,"Chữ 位 có nghĩa là 'chỗ ngồi' hay 'vị trí'. Chữ 位 là hình ảnh kết hợp giữa chữ 人 (nhân - người) và chữ 立 (lập - đứng). Chữ 立 vẽ người đứng dang tay, có nghĩa là 'đứng' hay 'đứng thẳng'. Chữ Vị, kết hợp chữ 人 vào chữ 立 vẽ người đứng như vậy, được tạo ra với nghĩa là 'vị trí' mà người đứng. Trong xã hội đẳng cấp cổ đại, vị trí ngồi cũng khác nhau tùy theo thân phận hoặc chức vụ. Do đó, chữ 位 ngoài nghĩa 'chỗ ngồi', còn có nghĩa là 'địa vị' hay 'chức vụ'.",,,,,
罗,,,"Chữ 羅 có nghĩa là 'bày ra' hay 'xếp hàng', 'đánh lưới'. Chữ 羅 là hình ảnh kết hợp giữa chữ 网 (võng - lưới) và chữ 維 (duy - dây thừng). Chữ 維 vẽ hình ảnh dây thừng vướng vào chân chim. Tuy nhiên, nhìn vào chữ La trong giáp cốt văn, chỉ có chữ 网 và chữ 隹 (chuy - chim) có nghĩa là chim được vẽ. Đây là biểu hiện của việc giăng lưới để bắt chim. Cổ đại, người ta thường giăng lưới giữa những cây nơi chim hay đi lại để bắt chim. Trong giáp cốt văn, nó được vẽ hình ảnh đó, có nghĩa là 'bày ra' từ ý nghĩa giăng lưới. Tuy nhiên, trong kim văn, chữ 糸 (mịch - sợi tơ) được thêm vào, tạo thành chữ 羅 giống như chim bị vướng dây thừng vào chân và bị bắt trong lưới.",,,,,
兰,,,[Không có giải thích chi tiết trong tiếng Hàn],,,,,
卖,,,"Chữ 賣 có nghĩa là 'bán'. Chữ 賣 là hình ảnh kết hợp giữa chữ 買 (mãi - mua) và chữ 出 (xuất - ra). Chữ 士 (sĩ - sĩ tử) được dùng trong chữ 賣 là biến thể sai của chữ 出, cho đến tiểu triện vẫn dùng chữ 出. Chữ Mại là chữ được tạo ra với khái niệm đối lập với nghĩa 'mua' của chữ 買. Cổ đại, chữ 買 được dùng với hai nghĩa là 'mua' và 'bán'. Không phân biệt riêng việc mua và bán. Tuy nhiên, sau này khi cần phân biệt, chữ 賣 được thêm chữ 出 có nghĩa là 'ra' vào chữ 買 để có nghĩa là 'bán'.",,,,,
妹,,,"Chữ 妹 có nghĩa là 'em gái' (nữ). Từ điển giải thích là '(em gái) nhỏ tuổi hơn', chỉ em gái ruột cùng cha mẹ. Chữ 妹 là hình ảnh kết hợp giữa chữ 女 (nữ - phụ nữ) và chữ 未 (vị - chưa). Chữ 未 ở đây truyền đạt ý nghĩa 'chưa trưởng thành' (未熟). Vì vậy, có thể nói chữ Muội được tạo ra với nghĩa là 'em gái nhỏ'.",,,,,
角,,,"Chữ 角 có nghĩa là 'sừng' hay 'góc'. Chữ 角 vẽ sừng của con vật. Nhìn vào chữ Giác trong giáp cốt văn, sừng nhọn và các nếp nhăn của con vật được mô tả rõ ràng. Từ cổ đại, sừng động vật được sử dụng với nhiều mục đích khác nhau. Nghĩa 'chén rượu' trong chữ Giác cũng là vì cổ đại dùng sừng bò làm chén rượu. Sừng là phần nhô ra từ đầu con vật, nên chữ Giác có nghĩa là 'lồi' hay 'góc cạnh', và từ ý nghĩa động vật dùng sừng để đấu sức, nó cũng có nghĩa là 'cạnh tranh' hay 'thi đấu'. Do đó, các chữ kết hợp với chữ 角 chủ yếu truyền đạt ý nghĩa liên quan đến 'công dụng của sừng' hay 'động tác của sừng'.",,,,,
身,,,"Chữ 身 có nghĩa là 'cơ thể' hay 'thân thể'. Chữ 身 vẽ phụ nữ mang thai bụng to. Do đó, nghĩa gốc của chữ 身 là 'mang thai'. Nghĩa '(mang) thai' vẫn còn trong chữ Thân cũng là vì lý do này. Chữ Thân vẽ phụ nữ bụng to vì mang thai như vậy, sau này được dùng với nghĩa là 'tình trạng cơ thể' hay 'cơ thể'. Ý nghĩa người phụ nữ mang thai quan tâm đến tình trạng cơ thể mình được mở rộng. Lưu ý, chữ 身 được chỉ định làm bộ thủ, nhưng không có chữ nào liên quan.",,,,,
体,,,Được tạo thành từ bộ nhân đứng (亻(=人) ☞ người) biểu thị ý nghĩa và chữ Bản (本 → Thể) biểu thị âm đọc (bon → bun) hợp lại.,,,,,
叫,,,"Chữ 叫 có nghĩa là 'hô lớn' hay 'hét lớn'. Chữ 叫 là hình ảnh kết hợp giữa chữ 口 (khẩu - miệng) và chữ 丩 (cù - vướng víu). Chữ 丩 là chữ gốc (본자) của chữ 糾 (cứu - vướng víu), vẽ hình ảnh dây bị rối. Chữ Khiếu, kết hợp chữ 口 vào chữ 丩 vẽ hình ảnh dây bị rối như vậy, được dùng với nghĩa là 'hô lớn'. Tức là chữ 叫 có nghĩa là 'hô lớn' từ ý nghĩa người bị trói bằng dây (丩) đang kêu gọi (口) giúp đỡ.",,,,,
比,bǐ,比,"Chữ 比 có nghĩa là 'so sánh'. Chữ 比 vẽ hình ảnh hai người đứng cạnh nhau hướng về bên phải. Ban đầu chữ 比 được tạo ra để chỉ nghĩa 'thân thiết' hay 'quen thuộc'. Tuy nhiên, hiện nay nó được dùng với nghĩa là 'đọ sức' hay 'so sánh' từ ý nghĩa so sánh hai người với nhau. Lưu ý, chữ 比 là vẽ chồng chữ 匕 (chủy - cái thìa), nên có thể nhầm lẫn bộ thủ là 匕, nhưng chữ 比 rõ ràng được phân loại là bộ thủ độc lập. Tuy nhiên, trong Hán tự thông dụng không có chữ nào liên quan.",【比较】,,,,
较,,,"Chữ 較 có nghĩa là 'so sánh' hay 'đối chiếu'. Chữ 較 là hình ảnh kết hợp giữa chữ 車 (xa - xe) và chữ 交 (giao - kết bạn/bắt chéo). Tuy nhiên, trong tiểu triện, chữ 䡈 (giảo - so sánh) có chữ 爻 (hào/hiếu - vạch) được dùng. Chữ 爻 được dùng trong chữ 䡈 là chữ tượng hình chỉ 'cái ách' dùng cho xe ngựa. Cái ách là thanh gỗ dùng để nối ngựa và xe ngựa bằng dây cương. Cái ách có chức năng điều chỉnh hướng đi của ngựa bằng dây ở hai bên. Do đó, chữ 䡈 được dùng với nghĩa là 'so sánh' hay 'đối chiếu' từ ý nghĩa điều chỉnh trái phải vật này. Tuy nhiên, trong khải thư, nó đổi thành chữ 較, khiến khó suy ra nghĩa gốc.",,,,,
样,,,"Chữ 樣 có nghĩa là 'hình dạng' hay 'mẫu'. Chữ 樣 là hình ảnh kết hợp giữa chữ 木 (mộc - gỗ) và chữ 羕 (dạng - sông dài). Chữ 羕 có nghĩa là dòng sông kéo dài như đàn cừu, nhưng ở đây chỉ đóng vai trò phát âm. Chữ Dạng ban đầu là chữ được tạo ra để chỉ quả mọc trên cây. Tuy nhiên, sau này nghĩa 'hình dạng' được giả tá (mượn nghĩa), nên nghĩa gốc không còn được dùng nữa.",,,,,
新,,,"Chữ 新 có nghĩa là 'mới' hay 'làm mới'. Chữ 新 là hình ảnh kết hợp giữa chữ 辛 (tân - cay/dụng cụ xăm), chữ 木 (mộc - gỗ), chữ 斤 (cân - rìu). Tuy nhiên, nhìn vào chữ Tân trong giáp cốt văn, chỉ có chữ 辛 và chữ 斤 được vẽ. Điều này có nghĩa là chặt cây làm củi đốt. Chữ 辛 ở đây là yếu tố phát âm, và chữ 斤 truyền đạt nghĩa 'chặt'. Trong kim văn, chữ 木 được thêm vào, tạo thành chữ Tân hiện nay. Chữ Tân ban đầu có nghĩa là chặt cây làm 'củi đốt', nhưng sau này nghĩa chặt và đẽo gỗ để 'làm ra vật mới' được mở rộng, nên có nghĩa là 'mới'. Khi chữ 新 được giả tá (mượn nghĩa) thành nghĩa 'mới', trong tiểu triện, chữ 薪 (tân - củi) được thêm chữ 艹 (thảo - cỏ) vào để thay thế nghĩa 'củi đốt'.",,,,,
女,nǚ,女,"Chữ 女 có nghĩa là 'phụ nữ' hay 'con gái', 'thiếu nữ'. Chữ 女 ban đầu được tạo ra để chỉ nghĩa thiếu nữ chưa kết hôn, nhưng hiện nay được dùng với nghĩa 'phụ nữ' một cách tổng quát. Nhìn vào chữ Nữ trong giáp cốt văn, hình ảnh người phụ nữ quỳ gối, tay chắp đoan trang được vẽ. Chữ Nữ vẽ dáng vẻ đoan trang của người phụ nữ, khi được dùng làm bộ thủ, nó truyền đạt ý nghĩa liên quan đến phụ nữ. Tuy nhiên, khi chữ 女 được dùng làm bộ thủ, nó thường truyền đạt nghĩa tiêu cực. Điều này là do xã hội phụ quyền cổ đại Trung Quốc đã ảnh hưởng đến việc hình thành chữ viết bằng tư duy nam giới là trung tâm.",【孙女】,好、妈、安,,,
大,,,"Chữ 大 có nghĩa là 'lớn' hay 'cao', 'nhiều', 'nghiêm trọng' và nhiều nghĩa khác. Nhìn vào chữ Đại trong giáp cốt văn, hình ảnh người dang hai tay được vẽ. Đây là biểu hiện của nghĩa 'lớn'. Chữ Đại về cơ bản được dùng với nghĩa là 'lớn', nhưng cũng phái sinh nghĩa 'nghiêm trọng' từ ý nghĩa mức độ quá mức. Vì vậy, có thể nói chữ Đại mang cả nghĩa tích cực và tiêu cực. Tuy nhiên, khi chữ 大 được dùng làm bộ thủ, nó thường truyền đạt ý nghĩa liên quan đến người mà không liên quan đến 'lớn'. Bởi vì chữ 大 ban đầu là vẽ người.",,,,,
但,,,"Chữ 但 có nghĩa là 'chỉ' hay 'tuy nhiên', được dùng làm trợ từ. Chữ 但 là hình ảnh kết hợp giữa chữ 人 (nhân - người) và chữ 旦 (đán - buổi sáng). Chữ 旦 vẽ hình ảnh mặt trời mọc trên đường chân trời, có nghĩa là 'buổi sáng'. Có thể nói chữ 旦 là chữ biểu hiện khoảnh khắc mặt trời xuất hiện. Chữ Đán, kết hợp chữ 人 vào chữ 旦 vẽ hình ảnh mặt trời mọc như vậy, được tạo ra với nghĩa là ""người xuất hiện"". Tuy nhiên, hiện nay nó được giả tá (mượn nghĩa) thành nghĩa 'chỉ' hay 'duy nhất'.",,,,,
是,shì,日、,"Chữ 是 có nghĩa là 'đúng', 'ngay thẳng'. Chữ 是 là hình ảnh kết hợp giữa chữ 日 (nhật - mặt trời/ngày) và chữ 正 (chính - thẳng). Chữ 正 vẽ hình ảnh hành quân về phía thành (城), có nghĩa là 'thẳng'. Chữ Thị, kết hợp chữ 日 vào chữ 正 có nghĩa 'thẳng' như vậy, có nghĩa là 'mặt trời (日) di chuyển (正) theo chu kỳ đúng đắn'. Tức là chữ 是 được giải thích là có nghĩa 'đúng đắn' và 'đúng' từ ý nghĩa mặt trời mọc và lặn theo một chu kỳ nhất định. Chữ 是 đôi khi cũng được giả tá (mượn nghĩa) thành nghĩa 'cái này' hay 'phàm là'.",【而是】,,,,
言,,,"Chữ 言 (ngôn) là chữ có nghĩa là 'lời nói' hay 'nói'. Nhìn vào chữ 言 trong giáp cốt văn, có hình dáng giống như chiếc kèn trumpet được vẽ phía trên chữ 口 (khẩu - miệng). Có giả thuyết cho rằng đây là vẽ một loại nhạc cụ gọi là sinh hoàng (笙簧), cũng có người nói là hình ảnh thổi kèn trumpet. Nhưng có lẽ chỉ đơn thuần là biểu hiện âm thanh lời nói lan tỏa ra. Chữ Ngôn vẽ hình ảnh âm thanh lan tỏa ra từ miệng như vậy, khi được dùng làm bộ thủ, nó truyền đạt ý nghĩa liên quan đến 'nói'. Lưu ý, chữ 言 trong giáp cốt văn được dùng với nghĩa là 'âm thanh' hay 'lời nói'. Do đó, trong kim văn, để phân biệt, chữ 音 (âm - âm thanh) được tạo ra bằng cách thêm một nét gạch vào chữ 言.",,,,,
容,,,"Chữ 容 (dung) là chữ có nghĩa là 'khuôn mặt' hay 'dung mạo'. Chữ 容 là hình ảnh kết hợp giữa chữ 宀 (miên - mái nhà) và chữ 谷 (cốc - thung lũng). Chữ 谷 vẽ hình ảnh nước chảy trong thung lũng, nhưng ở đây được ứng dụng làm chữ tượng hình. Trước hết, nhìn vào chữ 容 trong giáp cốt văn, chữ 內 (nội - bên trong) được vẽ cùng một cái vò. Điều này biểu hiện nghĩa 'cất giữ đồ vật (trong kho)'. Nghĩa 'cất giữ' được tạo ra thông qua hình ảnh cái vò đặt trong phòng. Tuy nhiên, hình ảnh này lại giống như khuôn mặt người, nên sau này có nghĩa là 'khuôn mặt' hay 'dung mạo' của con người. Điều này giống như cách chữ 囧 (quýnh - sáng) được dùng với nghĩa 'nan giải' trong tiếng Trung ngày nay.",,,,,
易,,,"Chữ 易 (dịch/dị) là chữ có nghĩa là 'thay đổi' hay 'dễ dàng'. Chữ 易 là hình ảnh kết hợp giữa chữ 日 (nhật - mặt trời) và chữ 勿 (vật - không). Tuy nhiên, nhìn vào chữ Dịch trong giáp cốt văn, hình ảnh nghiêng bát hoặc đĩa đổ vật gì đó được vẽ. Điều này có nghĩa là bỏ thứ đang có trong bát và đựng thứ mới vào. Việc bỏ đồ trong bát ra ngoài không hề khó khăn. Do đó, chữ 易 cũng có nghĩa là 'dễ dàng' được phái sinh. Khi đó phát âm là 'dị'.",,,,,
觉,,见,"Chữ 覺 (giác) là chữ có nghĩa là 'giác ngộ' hay 'khai sáng', 'thấu hiểu'. Chữ 覺 là hình ảnh kết hợp giữa chữ 學 (học - học) và chữ 見 (kiến - thấy). Chữ 學 biểu hiện hình ảnh em bé học ở nhà, có nghĩa là 'học'. Chữ Giác, kết hợp chữ 見 vào chữ 學 có nghĩa 'học' như vậy, có nghĩa là 'những gì đã học (學) bằng cách nhìn (見)'. Chữ Giác là chữ có nghĩa là 'khai sáng' hay 'thấu hiểu' từ ý nghĩa hiểu ra điều mình chưa biết sau khi tận mắt nhìn thấy.",,,,,
得,,,"Chữ 得 (đắc) là chữ có nghĩa là 'có được' hay 'nắm lấy'. Chữ 得 là hình ảnh kết hợp giữa chữ 彳 (xích - đi bước ngắn), chữ 貝 (bối - vỏ sò), chữ 寸 (thốn - tấc). Tuy nhiên, nhìn vào chữ Đắc trong giáp cốt văn, chỉ có hình ảnh nắm lấy ngọc trai được vẽ. Ngọc trai chỉ có ở một số vùng Đông Nam Á, nên có thời được dùng làm tiền tệ ở Trung Quốc. Do đó, chữ Đắc trong giáp cốt văn vẽ hình ảnh cầm tiền tệ trong tay, biểu hiện nghĩa thu được tài vật. Không rõ lý do, nhưng trong kim văn, chữ 彳 được thêm vào, tạo thành chữ Đắc hiện nay.",,,,,
同,,,"Chữ 同 (đồng) là chữ có nghĩa là 'một loại' hay 'giống nhau', 'cùng nhau'. Chữ 同 là hình ảnh kết hợp giữa chữ 凡 (phàm - phàm là) và chữ 口 (khẩu - miệng). Chữ 凡 vẽ cái bát lớn, có nghĩa là 'phàm là' hay 'tất cả'. Chữ Đồng, thêm chữ 口 vào chữ 凡 có nghĩa 'tất cả' như vậy, được tạo ra với nghĩa là 'tất cả đều nói', tức là 'cùng nhau trò chuyện'. Trong cuộc họp, ai cũng có thể đưa ra ý kiến mình muốn. Do đó, chữ Đồng có nghĩa là 'cùng nhau' hay 'giống nhau', 'đoàn thể'.",,,,,
屋,,,"Chữ 屋 (ốc) là chữ có nghĩa là 'nhà' hay 'không gian sống'. Chữ 屋 là hình ảnh kết hợp giữa chữ 尸 (thi - xác chết) và chữ 至 (chí - đến). Chữ 至 vẽ hình ảnh mũi tên cắm xuống đất, có nghĩa là 'đạt tới' hay '(ảnh hưởng) lan tới'. Chữ Ốc, thêm chữ 至 vào chữ 尸 có nghĩa xác chết, được tạo ra với nghĩa là 'nơi linh hồn tổ tiên ngự trị'. Trước đây chữ Ốc được dùng với nghĩa là phòng thờ nơi đặt bài vị tổ tiên. Tuy nhiên, hiện nay không liên quan đến ý nghĩa này mà chỉ đơn thuần có nghĩa là 'nhà' hay 'không gian sống'.",,,,,
